Type,Tipo
Qty for next item,Cantidad para el siguiente artículo
Quantity for next item — tap to reset,Cantidad para el siguiente artículo — toca para reiniciar
Posts opening stock to,Registra la existencia inicial en
This register has no warehouse — opening stock is unavailable,Esta caja no tiene almacén — no se puede registrar existencia inicial
Opening quantity needs a purchase price — ERPNext values the stock with it.,La cantidad inicial necesita precio de compra — con él se valúa la existencia.
Opening quantity needs a warehouse on this POS Profile.,La cantidad inicial necesita un almacén en este Perfil de POS.
Opening quantity cannot be negative.,La cantidad inicial no puede ser negativa.
Enter a purchase price first,Captura primero el precio de compra
Saldo/recarga requires an online connection,Saldo/recarga necesita conexión
Please verify the barcode or check the item's availability.,Verifica el código de barras o la disponibilidad del artículo.
remaining {0},quedan {0}
Amount off,Descuento por importe
Percent off,Descuento por porcentaje
New total,Nuevo total
Subtotal,Subtotal
discount,descuento
qty,cant
Tap again to remove,Toca otra vez para quitar
Loading records...,Cargando registros...
guests,comensales
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","En artículos de tipo «Product Bundle», el almacén, el número de serie y el lote se toman de la tabla «Packing List». Si el almacén y el lote son los mismos para todos los componentes de un «Product Bundle», pueden capturarse en la tabla principal de artículos; los valores se copian a «Packing List»."
Recharge / Service,Recarga / Servicio
"it is not asked, it is checked","no se pregunta, se comprueba"
Optional,Opcional
Not verified,Sin verificar
Required,Necesario
Verified,Verificado
This register cannot open yet:,Esta caja todavía no puede abrir:
"A register does not open when a payment method has no account, the warehouse cannot sell, the ticket format is missing or the trade's data is incomplete. Optional warns; required stops.","Una caja no abre si a una forma de pago le falta cuenta, si el almacén no sirve para vender, si falta el formato del ticket o si al giro le faltan datos. Lo opcional avisa; lo necesario detiene."
Ticket printer,Impresora de tickets
Scanner,Escáner
Scale,Báscula
Cash drawer,Cajón de dinero
Card terminal,Terminal bancaria
Customer display,Pantalla del cliente
{0} tickets,{0} tickets
{0} open drafts,{0} borradores abiertos
+ Cash sales,+ Ventas en efectivo
+ Advances taken,+ Anticipos recibidos
− Withdrawals and payouts,− Retiros y salidas
Drawer count,Conteo del cajón
{0} denominations,{0} denominaciones
= Expected in drawer,= Debe haber
Counted,Contado
entered by hand,capturado a mano
By denominations,Por denominaciones
Derived from the count above,Sale del conteo de arriba
Use the count,Usar el conteo
Enter the total by hand,Capturar el total a mano
One less of {0},Uno menos de {0}
One more of {0},Uno más de {0}
How many of {0},Cuántos de {0}
"Counted total, entered by hand","Total contado, capturado a mano"
To upload by payment method,Por subir por forma de pago
Nothing is lost,Nada se pierde
Storage used on this register,Espacio usado en esta caja
Ticket,Ticket
Customer and contents,Cliente y contenido
1 line,1 línea
{0} lines,{0} líneas
Nothing is waiting to upload,No hay nada por subir
Sales taken on this register stay in this list until the server confirms them.,Las ventas hechas en esta caja se quedan en esta lista hasta que el servidor las confirma.
Everything is saved on this register and uploads by itself as soon as the signal returns. No ticket is lost and nobody has to write anything on paper.,Todo se guarda en esta caja y se sube solo en cuanto vuelva la señal. Ningún ticket se pierde y nadie tiene que apuntar nada en papel.
Retrying…,Reintentando…
Retry now,Reintentar ahora
Sales saved on this register,Ventas guardadas en esta caja
"they upload in order, from the oldest to the newest","se suben en orden, de la más vieja a la más nueva"
and {0} more tickets in the queue,y {0} tickets más en la cola
1 sale could not be uploaded,1 venta no se pudo subir
{0} sales could not be uploaded,{0} ventas no se pudieron subir
1 sale was saved as a draft to review,1 venta se guardó como borrador para revisar
{0} sales were saved as drafts to review,{0} ventas se guardaron como borradores para revisar
open Offline Invoices to retry or export them,abre Facturas fuera de línea para reintentar o exportarlas
No connection,Sin conexión
Back online · {0} still to upload,De vuelta en línea · faltan {0} por subir
Everything is uploaded,Todo está subido
Saved on this register — survives a reload,Guardado en esta caja — aguanta una recarga
"Each sale carries its own id, so a retry cannot bill twice","Cada venta lleva su propio id, así que un reintento no puede cobrar dos veces"
Stock is discounted here while the signal is gone,Las existencias se descuentan aquí mientras no hay señal
from,de
gift card,tarjeta de regalo
Sale summary,Resumen de la venta
Earns,Acumula
with this purchase,con esta compra
Customer points,Puntos del cliente
Customer wallet,Monedero del cliente
lines,líneas
items,artículos
saved,ahorró
Printer ready,Impresora lista
Drawer connected,Cajón conectado
Drawer not connected,Cajón sin conectar
Terminal {0} ready,Terminal {0} lista
Terminal ready,Terminal lista
Choose at least one item to return,Elige al menos un artículo para devolver
Find the sale,Encontrar la venta
Narrow it down,Afinar la búsqueda
The search could not run. Ask a supervisor before trying another way.,La búsqueda no se pudo hacer. Consulta al encargado antes de buscar por otro lado.
No sale matched. Try another way to find it.,Ninguna venta coincide. Prueba con otra forma de encontrarla.
Original sale,Venta original
What the customer is bringing back,Qué regresa el cliente
"the original price, tax and tender are kept","se conserva el precio, el IVA y la forma de pago originales"
To return,A devolver
of,de
Find the sale first and its items will appear here.,Encuentra primero la venta y aquí aparecen sus artículos.
Reason,Motivo
Authorisation,Autorización
On the record,Queda registrado
Returned by,Quién devuelve
Authorised by,Autoriza
Continue the return,Continuar la devolución
not named yet,sin nombrar
not needed,no hace falta
Reason and authorisation,Motivo y autorización
The customer signed the printed return note,El cliente firmó la nota de devolución impresa
By ticket,Por ticket
By item or code,Por artículo o código
By customer,Por cliente
By serial or IMEI,Por serie o IMEI
No ticket,Sin ticket
needs a signature,pide firma
Register check · {0} points,Revisión de la caja · {0} puntos
{0} of {1} verified,{0} de {1} verificados
· {0} optional,· {0} opcional
· {0} not verified,· {0} sin verificar
Mode and branch,Modo y sucursal
The register has not resolved its mode yet,La caja todavía no resuelve su modo
This register's capability profile does not resolve,El perfil de capacidades de esta caja no resuelve
Standard retail register · {0},Caja de mostrador estándar · {0}
Standard retail register,Caja de mostrador estándar
{0} · {1},{0} · {1}
{0},{0}
Warehouse and price list,Almacén y lista de precios
The register's warehouse and price list are not loaded yet,El almacén y la lista de precios de la caja todavía no cargan
No warehouse and no price list on this register,Esta caja no tiene almacén ni lista de precios
This register has no warehouse,Esta caja no tiene almacén
This register has no price list,Esta caja no tiene lista de precios
{0} · {1} · priced items not counted,{0} · {1} · artículos con precio sin contar
"{0} cannot sell · it is a group, disabled or another company's","{0} no puede vender · es grupo, está deshabilitado o es de otra empresa"
{0} · {1} · {2} items with a price,{0} · {1} · {2} artículos con precio
Fiscal posture,Postura fiscal
The register's fiscal configuration is not loaded yet,La configuración fiscal de la caja todavía no carga
Stamping is on but this register has no tax template,El timbrado está activo pero esta caja no tiene plantilla de impuestos
No tax template — cannot tell exempt from unconfigured,Sin plantilla de impuestos — no se distingue exento de sin configurar
{0} · IVA {1} % · {2},{0} · IVA {1} % · {2}
{0} · IVA {1} %,{0} · IVA {1} %
{0} · rate not read,{0} · tasa sin leer
Payment methods and their accounts,Formas de pago con su cuenta
The register's payment methods are not loaded yet,Las formas de pago de la caja todavía no cargan
This register offers no payment method,Esta caja no ofrece ninguna forma de pago
{0} payment methods · accounting accounts not reported,{0} formas de pago · cuentas contables sin reportar
{0} of {1} with an accounting account · {2} cannot post,{0} de {1} con cuenta contable · {2} no puede registrar
{0} · {1} of {1} with an accounting account,{0} · {1} de {1} con cuenta contable
Ticket and document formats,Formatos de ticket y documentos
The register's print formats are not loaded yet,Los formatos de impresión de la caja todavía no cargan
This register has no ticket format,Esta caja no tiene formato de ticket
The ticket format {0} no longer exists,El formato de ticket {0} ya no existe
{0} · {1} · CFDI PDF,{0} · {1} · CFDI PDF
{0} · CFDI PDF,{0} · CFDI PDF
"Scanner, printer, drawer, terminal and display","Escáner, impresora, cajón, terminal y pantalla"
No device reported its state,Ningún dispositivo reportó su estado
"{0} devices, none of them verifiable from here","{0} dispositivos, ninguno verificable desde aquí"
{0} of {1} responding · {2} did not · {3} not verifiable,{0} de {1} responden · {2} no · {3} sin verificar
{0} of {1} responding · {2} did not,{0} de {1} responden · {2} no
{0} of {1} responding · {2} not verifiable,{0} de {1} responden · {2} sin verificar
{0} of {1} responding,{0} de {1} responden
Who sells and who authorises,Quién entra y quién autoriza
The register's roster is not loaded yet,El personal de la caja todavía no carga
{0} sells · nobody checked who authorises,{0} cobra · nadie revisó quién autoriza
{0} sells · nobody on this register can authorise an exception,{0} cobra · nadie en esta caja puede autorizar una excepción
Nobody on this register can authorise an exception,Nadie en esta caja puede autorizar una excepción
{0} sells · {1} authorises,{0} cobra · {1} autoriza
{1} authorises,{1} autoriza
Test sale and its reversal,Venta de prueba y su cancelación
No test sale is recorded for this register,No hay venta de prueba registrada para esta caja
No test sale has been made on this register,No se ha hecho venta de prueba en esta caja
Made and reversed on {0} · left at zero,Hecha y revertida el {0} · quedó en cero
Made and reversed · left at zero,Hecha y revertida · quedó en cero
Ready to work offline,Lista para trabajar sin internet
Offline readiness has not been measured on this device,En este equipo no se ha medido si puede trabajar sin internet
Not cached yet: {0},Todavía no se guarda: {0}
Catalogue and prices cached on this register,Catálogo y precios guardados en la caja
Catalogue and prices cached on this register · {0} MB,Catálogo y precios guardados en la caja · {0} MB
Clear to open,Salida a piso
The register has not checked yesterday's shifts,La caja no ha revisado los turnos de ayer
A shift is still open for this cashier · close it first,Este cajero tiene un turno abierto · ciérralo primero
No shift left open · {0} drafts parked · {1} tickets still to upload,Sin turnos abiertos · {0} borradores colgados · {1} tickets por subir
No shift left open · {0} drafts parked,Sin turnos abiertos · {0} borradores colgados
No shift left open · {0} tickets still to upload,Sin turnos abiertos · {0} tickets por subir
No shift left open · no parked drafts · nothing to upload,Sin turnos abiertos · sin borradores colgados · sin tickets por subir
The internet dropped — keep selling,Se cayó el internet — sigue cobrando
Back online — the queue is emptying itself,De vuelta en línea — la cola se vacía sola
No connection for,Sin conexión desde
Holding sales for,Guardando ventas desde
Waiting,En espera
Uploading,Subiendo
Retrying · attempt {0},Reintentando · intento {0}
Saved as draft — review,Guardada como borrador — revisar
Not uploaded — needs attention,No se subió — necesita atención
Uploaded,Ya subido
Mixed,Mixto
On credit,A crédito
No payment recorded,Sin pago registrado
Printer needs attention,Revisa la impresora
Printer unavailable,Impresora no disponible
Ticket number,Número de ticket
Item code or name,Código o nombre del artículo
"Name, phone or RFC","Nombre, teléfono o RFC"
Serial or IMEI,Serie o IMEI
Did not fit,No le quedó
Arrived faulty,Salió defectuoso
Wrong item,Se equivocó
This register does not accept returns without a ticket.,Esta caja no acepta devoluciones sin ticket.
Name the supervisor who authorises this return.,Nombra al encargado que autoriza esta devolución.
That supervisor is not signed in to this terminal.,Ese encargado no está firmado en esta caja.
Only a supervisor can authorise a return without a ticket.,Sólo un encargado puede autorizar una devolución sin ticket.
Confirm the customer signed the return note.,Confirma que el cliente firmó la nota de devolución.
Say why the goods are coming back.,Di por qué regresa la mercancía.
Within the return window — {0} days left. No authorisation needed.,Dentro del plazo de devolución — quedan {0} días. No necesita autorización.
The return window closed on {0}. A supervisor has to authorise this one.,El plazo de devolución cerró el {0}. Un encargado tiene que autorizar ésta.
This sale has no return window recorded. No authorisation needed.,Esta venta no tiene plazo de devolución registrado. No necesita autorización.
Filter cart lines,Filtrar líneas de la venta
SAT status,Estatus SAT
Generate files,Generar archivos
Send,Enviar
Last stamp attempt failed,El último intento de timbrado falló
The PAC rejected the stamp,El PAC rechazó el timbrado
This invoice was already stamped,Esta factura ya estaba timbrada
Could not generate the CFDI files,No se pudieron generar los archivos del CFDI
CFDI sent to,CFDI enviado a
Could not send the CFDI,No se pudo enviar el CFDI
Send by email,Enviar por correo
This RFC belongs to,Este RFC es de
Use that customer,Usar ese cliente
Generic RFC (público en general): régimen 616 + uso S01 apply.,RFC genérico (público en general): aplican régimen 616 y uso S01.
The código postal must be 5 digits,El código postal debe tener 5 dígitos
RFC,RFC
"As registered with SAT, without SA DE CV suffix","Como está en el SAT, sin el sufijo SA DE CV"
No matching régimen,Ningún régimen coincide
No compatible uso for this régimen,Ningún uso compatible con este régimen
No submitted invoices match this filter.,Ninguna factura emitida coincide con este filtro.
Error,Error
Back to invoice list,Volver a la lista de facturas
"Folio, customer or RFC","Folio, cliente o RFC"
change,cambiar
CFDI ready,CFDI listo
"Customer saved, but the fiscal data was rejected","El cliente se guardó, pero los datos fiscales se rechazaron"
Could not delete the draft — it stays in your drafts,No se pudo borrar el borrador — se queda en tus borradores
Compatible,Compatible
Expected in drawer,Debe haber
{0} % of sales,{0} % de ventas
no sales to compare against,sin ventas con qué comparar
Note on the difference,Nota de la diferencia
mandatory,obligatoria
optional,opcional
A difference over {0} has to be explained before the shift can close.,Una diferencia mayor a {0} se tiene que explicar antes de cerrar el turno.
"Say what happened, in a sentence — this is what a supervisor reads tomorrow.","Di qué pasó, en una frase — esto es lo que el encargado lee mañana."
The note goes on the closing document with the shift.,La nota queda en el corte junto con el turno.
Under {0} a difference is coins. Write a note anyway if you know why.,Abajo de {0} una diferencia es morralla. Aun así escribe la nota si sabes por qué.
"What happened? For example: $25 short on sale B-04801, too much change given at close.","¿Qué pasó? Por ejemplo: faltaron $25 en la venta B-04801, se dio cambio de más al cerrar."
Shift open,Turno abierto
{0} tickets uploaded,{0} tickets subidos
oldest first,de la más vieja primero
{0} ready,{0} listas
Service orders need a connection,Las órdenes de servicio necesitan conexión
The order lives in the workshop's records; the register reads it from the server.,La orden vive en los registros del taller; la caja la lee del servidor.
CFDI,CFDI
"Find an order by folio, IMEI or phone.","Busca una orden por folio, IMEI o teléfono."
Charging a service order needs a connection to the workshop's records.,Cobrar una orden de servicio necesita conexión con los registros del taller.
This order was already invoiced. Check before charging it again.,Esta orden ya se facturó. Revisa antes de volver a cobrarla.
"Folio, IMEI or phone…","Folio, IMEI o teléfono…"
{0} ending {1},{0} terminado en {1}
− Advance,− Anticipo
+ Counter,+ Mostrador
Labour and parts,Mano de obra y refacciones
labour,mano de obra
part,refacción
customer's part,pieza del cliente
no charge,no se cobra
from the counter,de mostrador
same ticket,mismo ticket
IMEI verified,IMEI verificado
IMEI not verified,IMEI sin verificar
IMEI check not recorded,No se registró la revisión del IMEI
{0} photos,{0} fotos
No photos,Sin fotos
Photos not recorded,No se registraron fotos
Not invoiced before,No facturada antes
Already invoiced,Ya facturada
Invoicing history not checked,No se revisó el historial de facturación
{0} d warranty,garantía {0} d
No warranty recorded,Sin garantía registrada
Ready for pickup,Lista
{0} has no note or coin,No hay billete ni moneda de {0}
Prints ticket,Imprime ticket
Payment method,Forma de pago
Decimal point,Punto decimal
Numeric keypad,Teclado numérico
Backspace,Borrar
Split payment,Dividir pago
{0} x {1} labels are too small for this page — text was shrunk to fit. Use fewer rows or columns.,Las etiquetas de {0} x {1} no caben en esta hoja — el texto se encogió para entrar. Usa menos filas o columnas.
Item '{0}' has no barcode,El artículo '{0}' no tiene código de barras
No barcode found for UOM '{0}',No hay código de barras para la unidad '{0}'
Additional discount,Descuento adicional
Lookup only — nothing is added to the sale,Sólo consulta — no se agrega nada a la venta
Searching…,Buscando…
No item found,No se encontró el artículo
Scan or type item / barcode,Escanea o escribe artículo / código
Keyboard shortcuts,Atajos del teclado
Customer credit redemption requires an online connection,El canje de crédito del cliente requiere conexión en línea
"Cannot refund {0} for this return: only {1} was paid on the original invoice. Turn on ""Store as Credit?"" to record it as a credit note that reduces the customer's balance.","No se pueden devolver {0} en esta devolución: sólo se pagaron {1} en la factura original. Activa ""¿Guardar como crédito?"" para registrarlo como nota de crédito que baja el saldo del cliente."
Saldo pouch available,Bolsa de saldo disponible
Left after this top-up,Te queda después de la recarga
Keep typing the number,Sigue escribiendo el número
This number has been topped up on more than one company here,Este número se ha recargado aquí con más de una compañía
Which company?,¿Cuál compañía?
it is charged from your saldo pouch,se cobra de tu bolsa de saldo
Number to top up,Número a recargar
Repeat last,Repetir última
From the customer on screen,Del cliente en pantalla
Today's top-ups,Recargas de hoy
{0} operations,{0} operaciones
{0} top-ups today,{0} recargas hoy
No top-ups yet today,Todavía no hay recargas hoy
Number,Número
Free amount,Otro monto
Recharged here before on {0},Aquí se recargó antes con {0}
Refunded to the pouch,Devuelto a la bolsa
the pouch got it back by itself,la bolsa lo recuperó sola
…,…
Confirming,Confirmando
Not delivered,No entregada
Under review,En revisión
Recharge not added,Recarga no agregada
The reference did not pass validation.,La referencia no pasó la validación.
The register could not validate the reference. Try again.,La caja no pudo validar la referencia. Inténtalo de nuevo.
To recharge,A recargar
To recharge · {0},A recargar · {0}
Purchase Orders,Órdenes de compra
Barcode Labels,Etiquetas de código de barras
Dashboard,Tablero
More,Más
Register tools,Herramientas de la caja
Collect against open invoices,Cobrar facturas pendientes y abonos
Orders to suppliers,Órdenes de compra a proveedores
Print labels from the catalogue,Imprimir etiquetas desde el catálogo
"Balance, issue and top up","Saldo, emisión y recarga"
"Today, the shift and each cashier","El día, el turno y cada cajero"
Received in cash,Recibido en efectivo
Amount received,Recibido
charges,cobra
Exact,Exacto
Applied payments,Pagos aplicados
Nothing tendered yet,Aún no hay pagos aplicados
On closing,Al cerrar
Deducts {0} pcs from stock,Descuenta {0} pzas del inventario
Keyboard,Teclado
Customer tax details,Datos fiscales del cliente
On file for this customer,En el expediente de este cliente
Type the number again,Escribe el número otra vez
The numbers do not match,Los números no coinciden
Sold today,Vendido hoy
Receivable,Por cobrar
Refunded,Devuelto
No sales yet today,Sin ventas todavía hoy
{0} tickets · average {1},{0} tickets · ticket medio {1}
Nothing outstanding,Nada por cobrar
{0} invoices · none overdue,{0} facturas · ninguna vencida
{0} invoices · {1} overdue,{0} facturas · {1} vencidas
No refunds,Sin devoluciones
{0} refunds · all against a ticket,{0} devoluciones · todas con ticket
{0} refunds · {1} with no ticket,{0} devoluciones · {1} sin ticket
From,Desde
To,Hasta
Every date,Todas las fechas
Invoice segments,Secciones de facturas
Customer name,Nombre del cliente
Choose a ticket to see it here,Elige un ticket para verlo aquí
Ticket {0},Ticket {0}
Change to repair,Cambio por reparar
Items · {0} lines,Artículos · {0} líneas
Balance due,Saldo pendiente
Press Enter to read this ticket,Pulsa Enter para leer este ticket
Collect balance,Cobrar saldo
Repair change,Reparar cambio
Hour,Hora
Reading the register…,Leyendo la caja…
Nothing on this list yet,Nada en esta lista todavía
↑↓ moves · Enter opens · Home and End jump,↑↓ recorre · Enter abre · Inicio y Fin saltan
{0} of the {1} loaded,{0} de las {1} cargadas
{0}–{1} of {2},{0}–{1} de {2}
Previous page,Página anterior
Next page,Página siguiente
Shift,Turno
Pending invoices,Pendientes
By date,Por fecha
By amount,Por monto
Draft invoice,Borrador
Returned invoice,Devuelta
Overdue invoice,Vencida
Paid invoice,Pagada
Partly paid invoice,Parcial
Credit note issued,Nota de crédito
Unpaid invoice,Pendiente
Recent,Recientes
Ready to charge,Listas
In progress,En trabajo
Handed over,Entregadas
in Taller,en Taller
Phone,Teléfono
Origin,Origen
open,abrir
Order ready,Lista
It cannot be charged twice,No se puede cobrar dos veces
No charge,Sin cargo
No charge · {0} d,Sin cargo · {0} d
Warranty,Garantía
Advance,Anticipo
No advance,Sin anticipo
from stock,surtida de almacén
ordered in,pedida al proveedor
Find a service order,Buscar una orden de servicio
Service orders are created and worked in Taller. The register only charges them.,Las órdenes se crean y trabajan en Taller. La caja sólo cobra.
Nothing has been handed over yet today.,Todavía no se ha entregado nada hoy.
No service order matches that.,Ninguna orden coincide con eso.
No service order is ready to charge.,No hay órdenes listas por cobrar.
Choose a service order to see what is on it.,Elige una orden para ver qué lleva.
Tech. {0},Téc. {0}
This order carries no lines yet.,Esta orden todavía no lleva conceptos.
{0} h {1} m,{0} h {1} m
{0} m,{0} m
Invoiced {0},Facturada {0}
IMEI {0},IMEI {0}
Could not count the service orders.,No se pudieron contar las órdenes de servicio.
Could not load the service orders.,No se pudieron cargar las órdenes de servicio.
Could not open this service order.,No se pudo abrir esta orden de servicio.
Server returned no invoice for this order.,El servidor no devolvió factura para esta orden.
Service order loaded,Orden cargada
charge it like any sale; the order completes on payment.,cóbrala como cualquier venta; la orden se completa al pagar.
Could not load this service order into the sale.,No se pudo cargar esta orden en la venta.
jan,ene
feb,feb
mar,mar
apr,abr
may,may
jun,jun
jul,jul
aug,ago
sep,sep
oct,oct
nov,nov
dec,dic
Device received,Equipo recibido
Order placed,Pedido levantado
Advance paid,Anticipo pagado
Payment received,Pago recibido
Part fitted from stock,Refacción surtida de almacén
"Part fitted, ordered in",Refacción pedida al proveedor
Customer's own part fitted,Se instaló la pieza del cliente
Part fitted,Refacción instalada
Work started,Empezó el trabajo
Work finished,Terminó el trabajo
Workshop note,Nota del taller
Invoiced,Facturada
Opened,Abierta
Recorded,Registrado
Showing the {0} most recent events,Mostrando los {0} movimientos más recientes
Reading what happened…,Leyendo lo que pasó…
Could not read what happened here.,No se pudo leer lo que pasó aquí.
Nothing has happened on this document yet.,Todavía no pasa nada en este documento.
Nothing has been recorded on this order yet.,Todavía no se registra nada en esta orden.
Nothing has happened on this order yet.,Todavía no pasa nada en este pedido.
What happened,Lo que pasó
history,historial
Close history,Cerrar historial
Last {0} days · up to {1} events,Últimos {0} días · hasta {1} movimientos
Choose a customer on the ticket first.,Elige primero un cliente en el ticket.
Could not read this customer's history.,No se pudo leer el historial de este cliente.
Nothing in this window.,Nada en este periodo.
Lead · {0},Prospecto · {0}
Not in the CRM,Sin registro en el CRM
Last activity {0},Última actividad {0}
Follow up,seguimiento
Asking…,pidiendo…
Follow-up asked for,Seguimiento solicitado
"Today's request was updated — the back office sees one, not two.","Se actualizó la solicitud de hoy — la oficina ve una, no dos."
The back office will pick it up.,La oficina lo tomará desde ahí.
Could not ask for a follow-up,No se pudo pedir el seguimiento
Estimated margin,Margen estimado
Cost incomplete,Costo incompleto
Cost,Costo
{0}'s wallet,Monedero de {0}
Cashback {0}%,Cashback {0} %
{0} deposited · {1} earned,{0} depositados · {1} de cashback
Make a deposit,Depositar
Print card,Imprimir tarjeta
Card printing is not built yet.,La impresión de tarjeta todavía no existe.
Spent at checkout as a means of payment.,Se usa en Cobro como forma de pago.
The deposit lands in this register's count.,El depósito entra al corte de esta caja.
Not on the cashback programme.,Sin programa de cashback.
Activate card,Activar tarjeta
The card is active.,La tarjeta quedó activa.
The card was not activated.,No se activó la tarjeta.
On the next purchase,En la próxima compra
Can pay up to,Puede pagar hasta
Would earn on a {0} purchase,Acumularía en una compra de {0}
Last {0},últimos {0}
No movements yet,Sin movimientos
Paid with the wallet,Pago con monedero
Cashback,Cashback
Cashback spent,Cashback usado
Credit note,Nota de crédito
Deposit to the wallet,Depositar al monedero
Enter an amount greater than zero.,Escribe un monto mayor a cero.
Choose how the customer is paying.,Elige con qué está pagando el cliente.
The wallet has the deposit.,El monedero ya tiene el depósito.
The deposit did not go through.,No se registró el depósito.
Edit details,Editar datos
Customer since {0},cliente desde {0}
Active card,Tarjeta activa
No card,Sin tarjeta
The walk-in customer is not a contact.,Público en General no es un contacto.
Story with the shop,Historia con la tienda
{0} purchases,{0} compras
{0} in total,{0} total
last {0},última {0}
"Last {0} days · the fiscal side lives in Invoices, this is the relationship","Últimos {0} días · lo fiscal vive en Facturas, esto es la relación"
Gift card code,Código de tarjeta
"Scan, type or paste the code · Enter looks it up","Escanea, teclea o pega el código · Enter consulta"
Check,Consultar
Issue new,Emitir nueva
Supervisor,Supervisor
Issue a gift card,Emitir tarjeta de regalo
Leave empty to generate one,Déjalo vacío y generamos uno
Initial amount,Monto inicial
Issue,Emitir
"Scan a printed card to use its own code, or leave it empty and we generate one.","Escanea una tarjeta impresa para usar su código, o déjalo vacío y generamos uno."
Available balance,Saldo disponible
Top up amount,Monto a recargar
Top up,Recargar
Issuing and topping up need a supervisor · checking does not,Emitir y recargar piden supervisor · consultar no
Paying with this card?,¿Cobrar con esta tarjeta?
In Cobro · as a payment method,En Cobro · forma de pago
Issue a card with this code,Emitir tarjeta con este código
Movements of {0},Movimientos de {0}
last {0} · the shift count reconciles against this list,últimos {0} · el corte cuadra contra esta lista
Movement,Movimiento
"The balance lives on the card, not on a customer — whoever brings it, uses it. For value with a name and cashback: customer card.","El saldo vive en la tarjeta, no en un cliente — quien la trae, la usa. Para saldo con nombre y cashback: Tarjeta de cliente."
We could not find card {0},No encontramos la tarjeta {0}
Scan or type a code to see the card,Escanea o teclea un código para ver la tarjeta
issued {0},emitida {0}
by {0},por {0}
Expires {0},Vence {0}
last used {0},último uso {0}
today,hoy
Gift cards need a connection. Reconnect and try again.,Las tarjetas de regalo necesitan conexión. Reconecta e intenta de nuevo.
Gift card {0} issued,Tarjeta {0} emitida
Gift card {0} topped up,Tarjeta {0} recargada
Welcome,Bienvenido
Your items and total appear here,Aquí aparecen tus artículos y tu total
Not linked to a register,Sin conexión con la caja
Your basket,Tu compra
Your purchase,Tu compra
Total to pay,Total a pagar
{0} items,{0} artículos
Saving,Ahorro
you save {0},ahorras {0}
Your change,Tu cambio
Remember your change,No olvides tu cambio
Thank you,Gracias
Thank you for your visit,Gracias por tu visita
This purchase earns you,Con esta compra acumulas
Your card · balance will be {0},Tu tarjeta · tu saldo quedará en {0}
Weigh or set amount,Pesar o poner importe
Type weight,Teclear peso
$ Amount,$ Importe
Net weight on the scale,Peso neto en la báscula
Tray tare,Tara charola
Amount the customer asked for,Importe que pidió el cliente
Add to sale,Agregar a la venta
The tare is heavier than what is on the scale.,La tara pesa más que lo que hay en la báscula.
Nothing left after the tare.,No queda nada después de la tara.
A tare cannot be negative.,La tara no puede ser negativa.
Less than the smallest quantity this register can sell.,Menos de la cantidad mínima que esta caja puede vender.
tare {0},tara {0}
Weighed {0} · gross {1} · {2},Pesado {0} · bruto {1} · {2}
This item has no price on this register.,Este artículo no tiene precio en esta caja.
That amount buys less than the smallest quantity this register can sell.,Ese importe compra menos de la cantidad mínima que esta caja puede vender.
For {0},Por {0}
charged {0},se cobran {0}
Unreadable scale label,Etiqueta de báscula ilegible
"The scale label did not verify — it was read wrong or printed damaged. Scan it again, or weigh the item again.","La etiqueta de báscula no verificó: se leyó mal o se imprimió dañada. Pásala otra vez, o vuelve a pesar el artículo."
The scale label names no item. Re-print it from the scale.,La etiqueta de báscula no nombra ningún artículo. Vuelve a imprimirla desde la báscula.
The scale label carries no weight or price. Weigh the item again.,La etiqueta de báscula no trae peso ni precio. Vuelve a pesar el artículo.
"This item has no price on this register, so the amount on the label cannot be turned into a quantity.","Este artículo no tiene precio en esta caja, así que el importe de la etiqueta no se puede convertir en cantidad."
The label's amount is smaller than the smallest quantity this register can sell.,El importe de la etiqueta es menor que la cantidad mínima que esta caja puede vender.
"No item carries the code {0} that this scale label names. Register the label on the item, or check the scale's item number.","Ningún artículo lleva el código {0} que nombra esta etiqueta de báscula. Registra la etiqueta en el artículo, o revisa el número de artículo en la báscula."
{0} is not sold by weight,{0} no se vende por peso
"Its unit ({0}) only takes whole numbers, so a scale label cannot set its quantity.","Su unidad ({0}) solo acepta números enteros, así que una etiqueta de báscula no puede fijar su cantidad."
unit,unidad
This scale label cannot be read as a quantity,Esta etiqueta de báscula no se puede leer como cantidad
Scale label · {0},Etiqueta de báscula · {0}
Scale label · {0} · {1},Etiqueta de báscula · {0} · {1}
Quotations,Cotizaciones
Valid,Vigente
Expiring,Por vencer
Expired quote,Vencida
Converted,Convertida
Folio,Folio
Due,Vence
Note,Nota
Quoted total,Total cotizado
LOAD INTO THE SALE,CARGAR A LA VENTA
Print / PDF,Imprimir / PDF
Extend validity,Extender vigencia
Folio or customer…,Folio o cliente…
Loading quotations…,Cargando cotizaciones…
Reading the quotation…,Leyendo la cotización…
No quotations in this list.,No hay cotizaciones en esta lista.
Choose a quotation to see what was promised.,Elige una cotización para ver qué se prometió.
quoted price,precio cotizado
list today {0},lista hoy {0}
Already sold,Ya se vendió
Already sold on,Ya se vendió en
"Quotation {0} was billed on {1}.","La cotización {0} se facturó en {1}."
Quotation loaded,Cotización cargada
